Reconstruction lambda,SNR,Data points,Fisher information, RNMSE
0.005,0,10,4.9135e-127,2.4819e-05
0.005,0,1,0,1.0658
0.005,0,2,2.0632e-279,1.053
0.005,0,3,2.6933e-251,1.4789
0.005,0,4,3.7672e-227,0.72537
0.005,0,5,6.3263e-207,1.0101
0.005,0,6,6.8816e-189,3.6716e-05
0.005,0,7,3.3819e-172,3.7012e-05
0.005,0,8,1.2392e-156,2.9476e-05
0.005,0,9,3.5747e-142,2.8716e-05
0.005,0,10,2.0087e-127,1.3858e-05
0.005,0,1,0,1.0649
0.005,0,2,4.1335e-280,1.0014
0.005,0,3,6.7231e-249,1.0127
0.005,0,4,4.6316e-224,1.0846
0.005,0,5,8.8401e-202,0.00033791
0.005,0,6,1.9938e-183,0.00021755
0.005,0,7,2.6839e-169,0.00021967
0.005,0,8,1.9598e-158,0.0002219
0.005,0,9,1.0204e-143,0.00021936
0.005,0,10,4.614e-133,0.00021699
0.005,0,1,0,1.0492
0.005,0,2,2.0242e-278,1.0459
0.005,0,3,1.5864e-251,1.5965
0.005,0,4,1.7668e-228,1.0204
0.005,0,5,4.5671e-207,1.0247
0.005,0,6,1.116e-188,3.0748e-05
0.005,0,7,2.276e-172,2.4686e-05
0.005,0,8,1.3459e-156,2.4238e-05
0.005,0,9,6.6612e-142,2.3674e-05
0.005,0,10,2.4385e-127,2.7703e-05
0.005,0,1,0,1.0706
0.005,0,2,3.3392e-276,86.9565
0.005,0,3,7.5442e-245,1.0109
0.005,0,4,8.459e-221,1.0457
0.005,0,5,1.0581e-203,1.1286
0.005,0,6,2.075e-187,1.0434
0.005,0,7,7.8155e-171,7.3219e-05
0.005,0,8,8.7759e-156,2.3159e-05
0.005,0,9,1.2273e-140,1.5728e-05
0.005,0,10,3.4114e-126,8.715e-06
0.005,0,1,0,1.034
0.005,0,2,4.2006e-267,1.1027
0.005,0,3,2.7599e-237,1.0274
0.005,0,4,3.957e-219,1.0076
0.005,0,5,6.4495e-201,0.0001422
0.005,0,6,1.3008e-185,0.00011826
0.005,0,7,1.751e-170,5.7564e-05
0.005,0,8,1.7734e-155,4.9123e-05
0.005,0,9,2.6849e-140,4.702e-05
0.005,0,10,6.3726e-126,2.7025e-05
0.005,0,1,0,1.0414
0.005,0,2,2.5735e-265,1.132
0.005,0,3,3.3714e-241,1.2163
0.005,0,4,4.5188e-221,1.1654
0.005,0,5,2.6932e-203,1.2619
0.005,0,6,2.1176e-186,3.1652e-05
0.005,0,7,7.6359e-170,1.309e-05
0.005,0,8,5.3393e-154,1.0124e-05
0.005,0,9,8.9799e-140,9.0558e-06
0.005,0,10,3.1531e-125,8.2578e-06
0.005,0,1,0,1.0427
0.005,0,2,3.5426e-271,10.2007
0.005,0,3,1.6354e-245,1.9104
0.005,0,4,2.8678e-222,1.4385
0.005,0,5,6.0461e-204,0.00010096
0.005,0,6,9.9827e-187,4.8264e-05
0.005,0,7,3.7565e-171,2.0915e-05
0.005,0,8,1.845e-155,1.5287e-05
0.005,0,9,2.1545e-141,1.0314e-05
0.005,0,10,3.1406e-127,1.0164e-05
0.005,0,1,0,1.0514
0.005,0,2,2.1357e-279,111.3801
0.005,0,3,9.9574e-247,1.0078
0.005,0,4,1.8117e-224,1.0143
0.005,0,5,5.4109e-207,1.0784
0.005,0,6,6.621e-189,0.71819
0.005,0,7,3.4727e-172,4.3746e-05
0.005,0,8,2.496e-156,4.219e-05
0.005,0,9,6.3315e-141,3.6542e-05
0.005,0,10,1.5327e-126,2.527e-05
0.005,0,1,0,1.0716
0.005,0,2,2.0665e-280,72.0824
0.005,0,3,1.5279e-241,1.0226
0.005,0,4,2.0569e-222,4.4805
0.005,0,5,2.5615e-204,0.00023661
0.005,0,6,1.8657e-190,0.00023512
0.005,0,7,9.3874e-173,0.00014323
0.005,0,8,8.6954e-159,7.5817e-05
0.005,0,9,3.2525e-145,7.4147e-05
0.005,0,10,1.3481e-132,6.7617e-05
